[2020.09.24 20:25:10] | [0.001] | INFO  | [root.gd] [] >> instancing node...
[2020.09.24 20:25:10] | [0.082] | INFO  | [root.gd] [] >> ...node instanced
[2020.09.24 20:25:10] | [0.017] | INFO  | [root.gd] [] >> child added
[2020.09.24 20:25:10] | [0.001] | INFO  | [root.gd] [] >> instancing node...
[2020.09.24 20:25:10] | [0.082] | INFO  | [root.gd] [] >> ...node instanced
[2020.09.24 20:25:10] | [0.017] | INFO  | [root.gd] [] >> child added
[2020.09.24 20:25:10] | [0.005] | INFO  | [root.gd] [] >> instancing node...
[2020.09.24 20:25:10] | [0.078] | INFO  | [root.gd] [] >> ...node instanced
[2020.09.24 20:25:10] | [0.017] | INFO  | [root.gd] [] >> child added
[2020.09.24 20:25:10] | [0.001] | INFO  | [root.gd] [] >> instanced, starting new game
